size,time(ms)
500,3391
1500,8381
2500,10628
3500,12016
4500,13608
5500,11511
6500,14368
7500,15406
8500,17345
9500,19732
10500,22613
11500,24079
12500,26050
13500,28761
14500,30017
15500,32933
16500,34366
17500,37668
18500,39124
19500,41204
20500,43621
21500,45368
22500,55611
23500,52751
24500,53677
25500,55029
26500,57146
27500,61073
28500,55615
29500,57501
30500,59504
31500,61996
32500,63718
33500,65661
34500,66799
35500,69089
36500,71309
37500,72937
38500,75111
39500,77235
40500,78200
41500,81607
42500,83231
43500,85393
44500,86702
45500,89555
46500,91115
47500,93641
48500,96327
49500,97443
50500,99659
51500,101462
52500,443042
53500,405314
54500,476433
55500,441311
56500,640059
57500,551406
58500,604878
59500,546015
60500,528520
61500,516342
62500,607625
63500,526700
64500,541546
65500,579547
66500,155789
67500,160743
68500,162380
69500,152397
70500,158333
71500,157665
72500,156991
73500,160132
74500,196721
75500,165025
76500,166008
77500,168643
78500,170898
79500,175943
80500,176313
81500,179301
82500,180773
83500,182429
84500,185709
85500,186750
86500,187013
87500,191837
88500,197508
89500,194568
90500,198321
91500,201643
92500,202230
93500,203952
94500,205692
95500,213956
96500,212856
97500,211261
98500,220474
99500,218957
