size,time(ms)
500,1570
1500,6122
2500,8301
3500,10522
4500,13362
5500,8720
6500,10355
7500,11611
8500,13556
9500,15281
10500,17103
11500,17893
12500,19670
13500,21042
14500,23047
15500,24258
16500,25693
17500,28099
18500,29728
19500,31196
20500,32436
21500,35523
22500,38158
23500,47440
24500,39565
25500,40711
26500,42424
27500,44601
28500,52087
29500,43231
30500,43742
31500,46003
32500,47203
33500,48838
34500,50351
35500,51222
36500,55434
37500,54167
38500,57702
39500,58573
40500,61362
41500,61168
42500,64049
43500,65813
44500,66194
45500,69379
46500,70749
47500,72184
48500,73164
49500,75025
50500,77968
51500,80119
52500,81981
53500,335637
54500,352535
55500,309447
56500,391641
57500,472086
58500,457096
59500,438152
60500,425218
61500,460538
62500,499271
63500,412513
64500,413919
65500,426737
66500,421894
67500,116780
68500,117780
69500,143829
70500,122103
71500,123363
72500,126895
73500,130614
74500,131082
75500,133049
76500,133483
77500,135908
78500,139179
79500,141210
80500,143683
81500,149006
82500,151349
83500,151402
84500,156723
85500,159715
86500,162750
87500,172888
88500,170241
89500,176773
90500,180396
91500,182021
92500,188176
93500,191938
94500,201332
95500,200069
96500,206623
97500,211591
98500,218033
99500,222532
