size,time(ms)
500,3277
1500,8415
2500,11865
3500,15153
4500,20257
5500,12101
6500,14210
7500,16255
8500,18671
9500,20706
10500,23631
11500,25353
12500,28837
13500,30390
14500,32267
15500,33960
16500,36108
17500,38772
18500,40804
19500,42897
20500,45995
21500,47975
22500,50172
23500,53537
24500,55308
25500,55559
26500,59291
27500,61537
28500,64156
29500,59846
30500,61272
31500,64229
32500,67794
33500,67098
34500,70076
35500,70778
36500,73905
37500,76234
38500,77511
39500,78900
40500,81020
41500,82970
42500,86345
43500,87559
44500,89272
45500,91442
46500,93950
47500,95665
48500,99029
49500,98714
50500,101707
51500,104449
52500,228424
53500,438570
54500,450607
55500,466475
56500,732151
57500,558987
58500,560169
59500,536015
60500,535777
61500,527667
62500,624892
63500,519901
64500,556064
65500,540473
66500,274953
67500,150907
68500,150820
69500,151631
70500,154253
71500,158111
72500,159989
73500,161727
74500,162312
75500,179006
76500,167154
77500,173250
78500,173045
79500,177002
80500,176606
81500,178286
82500,181639
83500,185778
84500,186422
85500,193197
86500,190393
87500,193029
88500,193689
89500,196423
90500,196257
91500,198926
92500,206382
93500,205341
94500,208171
95500,209915
96500,208763
97500,212531
98500,216104
99500,217907
