size,time(ms)
500,7294
1500,17821
2500,29789
3500,41569
4500,54038
5500,65685
6500,79005
7500,88931
8500,102024
9500,112858
10500,128989
11500,136515
12500,147960
13500,160136
14500,166668
15500,169463
16500,179128
17500,218658
18500,233827
19500,231371
20500,243169
21500,260475
22500,267039
23500,278853
24500,291618
25500,306869
26500,319292
27500,327627
28500,343651
29500,354676
30500,367197
31500,378565
32500,391172
33500,397297
34500,410560
35500,421472
36500,433873
37500,445364
38500,458371
39500,475786
40500,481922
41500,518017
42500,504555
43500,519450
44500,529770
45500,584192
46500,553879
47500,563994
48500,581380
49500,613501
50500,599616
51500,613098
52500,646991
53500,639714
54500,651239
55500,657610
56500,694282
57500,703783
58500,699570
59500,735078
60500,718879
61500,753963
62500,815028
63500,754627
64500,773476
65500,782603
66500,791410
67500,808282
68500,818392
69500,830217
70500,842745
71500,856080
72500,861695
73500,878770
74500,889387
75500,903034
76500,908792
77500,927598
78500,938622
79500,946305
80500,961798
81500,974134
82500,986067
83500,996774
84500,1009169
85500,1284347
86500,1045692
87500,1044259
88500,1058962
89500,1064415
90500,1081502
91500,1127361
92500,1146295
93500,1149647
94500,1126939
95500,1179832
96500,1152735
97500,1167285
98500,1175389
99500,1190676
