size,time(ms)
500,6881
1500,18092
2500,30051
3500,41577
4500,57377
5500,65032
6500,77423
7500,89112
8500,101035
9500,113206
10500,125887
11500,140204
12500,147953
13500,165073
14500,171834
15500,173210
16500,179306
17500,229208
18500,220094
19500,231607
20500,244080
21500,254998
22500,267870
23500,278647
24500,295023
25500,302700
26500,316540
27500,326642
28500,340327
29500,350630
30500,362288
31500,375738
32500,385729
33500,403461
34500,414053
35500,435986
36500,433558
37500,449343
38500,461520
39500,468986
40500,501303
41500,555684
42500,510114
43500,515355
44500,529158
45500,540919
46500,556710
47500,568434
48500,595419
49500,592946
50500,601729
51500,612733
52500,649897
53500,635557
54500,647252
55500,685984
56500,648687
57500,755012
58500,696412
59500,714254
60500,792640
61500,819992
62500,768463
63500,755002
64500,770374
65500,783339
66500,795992
67500,806182
68500,813507
69500,832376
70500,843223
71500,914011
72500,863849
73500,875851
74500,890469
75500,898093
76500,913486
77500,925771
78500,932492
79500,949692
80500,956700
81500,972848
82500,982669
83500,993628
84500,1010615
85500,1035517
86500,985568
87500,1094743
88500,1074080
89500,1067122
90500,1088211
91500,1109172
92500,1185542
93500,1123814
94500,1124061
95500,1086237
96500,1152907
97500,1159981
98500,1176151
99500,1191857
